Bengaluru, Karnataka
Pune, Maharashtra
Udupi, Karnataka
Gokarna, Karnataka
Mysore, karnataka
Bhiwandi, Maharashtra
Gokarna, Karnataka
Mumbai, Maharashtra
mahasamund, Chhattisgarh
Mysore, Karnataka
Bengalore , Karnataka
Tehri, Uttarakhand
Rishikesh, Uttarakhand
Ramnagar, Uttarakhand
Kaddukhal Dhanolti Lagga Goth, Uttarakhand
Mysore, karnataka
Kumta, Karnataka
Gandhi Smarak Nidhi, Delhi
Baliyasan, Gujarat
Rajkot , Gujarat
Jamnagar, Gujarat
Kundli, Haryana
Faridabad, Haryana 
Poovar, Kerala
Trivandrum, Kerala
Thrissur, Kerala
Lucknow, Uttarpradesh
Hyderabad, Telangana
Trivandrum, Kerala 
Alappuzha, Kerala
Coimbatore, Tamil Nadu
New Delhi
Bakkarwala, New Delhi
Udaipur, Rajasthan
Jaipur, Rajasthan
Dharamshala, Himachal Pradesh
Bir, Himachal Pradesh
Tattapani, Himachal Pradesh
Baddi, Himachal Pradesh
Chorao Island, Goa
Panjim, Goa
Margao, Goa
Canacona, Goa
Morjim, Goa
Arambol, Goa
